VISUAL REPORTING POINTS
ELLA 690200N 0183820E
ESPENES 690712N 0174249E
FINNFJORD 691332N 0180500E
FINNSNES 691425N 0175754E
GOMPEN 690307N 0175630E
NORA 690602N 0183642E
REINELV 691227N 0181437E
ROGNMO 690548N 0184321E
ROSSVOLL 691042N 0183000E
RUNDHAUG 690110N 0185355E
SAFT 685751N 0184048E
SARA 690025N 0183105E
SODA 685557N 0185700E
STEINVANN 690700N 0182500E
SØRREISA 690735N 0181145E
TAKVATN 690635N 0190220E
TILLERMO 685944N 0190943E
TUNE 685548N 0182842E
WERA 690345N 0182410E
ÅSEN 690159N 0183212E
